start5_mean,start10_mean,start15_mean,start20_mean,start25_mean,start30_mean,start35_mean,start40_mean,start5_sd,start10_sd,start15_sd,start20_sd,start25_sd,start30_sd,start35_sd,start40_sd
0.24447104,0.22462473,0.210809007,0.189043848,0.171056428,0.15087507,0.13189527,0.108853162,0.020339774,0.023596399,0.021755347,0.021151883,0.02427894,0.024886795,0.022866082,0.022490396
0.242859717,0.223792443,0.209084647,0.18503306,0.169806156,0.144991922,0.124238759,0.111531811,0.021268589,0.019187247,0.019110492,0.020824699,0.021940027,0.023844383,0.022856655,0.024029877
0.24074293,0.221880844,0.197660391,0.180817421,0.161036053,0.140991836,0.128776181,0.11008986,0.020499213,0.020308036,0.01844343,0.021316341,0.021150873,0.025509925,0.024918145,0.023401306
0.238028275,0.218430694,0.196052049,0.172685415,0.155070904,0.136307304,0.122326393,0.104347452,0.021169351,0.022233596,0.019782892,0.022319805,0.02042931,0.0212523,0.023366594,0.024158354
0.231892853,0.208247254,0.194113177,0.169628731,0.151887622,0.133411775,0.114739011,0.1021014,0.022285851,0.022674901,0.023779172,0.021954832,0.022968812,0.023948389,0.019273249,0.022598109
0.227938734,0.207013851,0.187710802,0.168779035,0.14604245,0.130059063,0.113551851,0.096548022,0.021579325,0.020391517,0.021271111,0.024409544,0.026370229,0.023080623,0.022825688,0.021731531
0.228492787,0.207635308,0.184370647,0.163301038,0.148620828,0.129762058,0.108832006,0.091622221,0.021069562,0.021692055,0.020296493,0.024638969,0.02604051,0.022082858,0.023697011,0.021614291
0.222517176,0.197703335,0.184022282,0.159622154,0.142874619,0.120990166,0.110214731,0.085949619,0.021798814,0.020562201,0.022654458,0.022797593,0.024115099,0.024888821,0.022057239,0.023205399
0.21562897,0.200218218,0.175328131,0.157834386,0.140587144,0.11867647,0.102337243,0.089555184,0.020503958,0.02195051,0.026874557,0.023044967,0.022289726,0.023666041,0.021700299,0.023842292
0.212371466,0.194710936,0.172383222,0.15098067,0.133885974,0.115425672,0.104179065,0.082756239,0.022785624,0.020282306,0.020888383,0.022373691,0.023265188,0.023855918,0.022619308,0.023623378
0.212582924,0.190094808,0.173926263,0.147079007,0.131774504,0.115179078,0.099524112,0.080683039,0.019489337,0.021860773,0.021938497,0.021915424,0.022355089,0.022043913,0.021449188,0.023833315
0.202448792,0.184901029,0.168256971,0.151005445,0.126336279,0.108716143,0.096634843,0.077803154,0.019966356,0.020522608,0.021704411,0.0246776,0.019535613,0.022308574,0.02072513,0.024368426
0.199288385,0.180397229,0.158555361,0.146888449,0.121840083,0.106113037,0.094280755,0.075377137,0.019712044,0.026484082,0.022942909,0.025287385,0.02192354,0.022669604,0.022179071,0.022019116
0.196990713,0.175981256,0.157054436,0.134003055,0.123360806,0.111084304,0.091780792,0.074250766,0.023040838,0.023561116,0.023137143,0.02253447,0.022986219,0.028868665,0.02501138,0.026225603
0.189625306,0.168848847,0.156280633,0.133397236,0.114857941,0.096851387,0.083927922,0.07449436,0.02247973,0.021805225,0.023965949,0.023975397,0.025975767,0.022478884,0.025294489,0.025932864
0.190350995,0.17155848,0.154101521,0.126441607,0.118570683,0.095883031,0.084366756,0.065845021,0.023149257,0.022601652,0.026262416,0.024325352,0.021201829,0.023163424,0.023297915,0.030214405
0.182217651,0.163312254,0.146707109,0.12900713,0.109824997,0.096552294,0.076605616,0.059831469,0.024875205,0.021136065,0.02420787,0.021363163,0.022525791,0.025608939,0.029106833,0.021308526
0.180053975,0.162048845,0.141021235,0.12385692,0.112223971,0.091717218,0.073273217,0.056716302,0.025362655,0.02311111,0.024846325,0.025337678,0.024294636,0.023249599,0.025497032,0.030535144
0.174551289,0.156373445,0.137025416,0.120631281,0.105487258,0.087041428,0.076042881,0.053169527,0.024214448,0.025069293,0.021985653,0.023848713,0.02624483,0.020878726,0.024413818,0.03154491
0.170979959,0.151238551,0.135319449,0.118862811,0.098547315,0.086943371,0.067250433,0.052797496,0.024244596,0.024072902,0.022295986,0.021830871,0.023753427,0.023373172,0.028513083,0.031653668
0.168061694,0.148820465,0.133448339,0.11132081,0.09874714,0.081655423,0.068289256,0.04591584,0.025058935,0.022365887,0.024361615,0.023243902,0.021977654,0.023391268,0.025607742,0.031349879
0.162930517,0.147157065,0.130204536,0.112267993,0.097845915,0.081091647,0.060289874,0.046352687,0.021699855,0.02501017,0.023092865,0.024400742,0.022395923,0.024405256,0.02495674,0.029576447
0.161586147,0.143186589,0.12704277,0.11123107,0.089412006,0.07897082,0.062130317,0.042835435,0.025003897,0.02541312,0.022980559,0.023059722,0.023602415,0.021444685,0.036212098,0.031103444
